day,language,part,time_seconds,timestamp
08,python,2,0.227801,2026-01-05T17:27:31.600649
09,python,1,0.065845,2026-01-05T17:27:31.757234
09,python,2,0.286200,2026-01-05T17:27:32.044033
10,python,1,0.016947,2026-01-05T17:27:32.174760
10,python,2,0.727757,2026-01-05T17:27:32.903075
11,python,1,0.000524,2026-01-05T17:27:32.995127
11,python,2,0.001970,2026-01-05T17:27:32.997691
12,python,1,0.003187,2026-01-05T17:27:33.082353
12,python,2,0.000001,2026-01-05T17:27:33.082814
01,rust,1,0.000052,2026-01-05T17:27:33.267986587+00:00
01,rust,2,0.000121,2026-01-05T17:27:33.268274981+00:00
02,rust,1,0.003950,2026-01-05T17:27:33.438182158+00:00
02,rust,2,0.020688,2026-01-05T17:27:33.459398148+00:00
03,rust,1,0.000092,2026-01-05T17:27:33.629231080+00:00
03,rust,2,0.000248,2026-01-05T17:27:33.629685065+00:00
01,python,1,0.002092,2026-01-05T17:27:37.564877
01,python,2,0.002611,2026-01-05T17:27:37.568166
02,python,1,0.531999,2026-01-05T17:27:38.187342
02,python,2,1.177622,2026-01-05T17:27:39.366633
03,python,1,0.004335,2026-01-05T17:27:39.461412
03,python,2,0.008248,2026-01-05T17:27:39.470260
04,python,1,0.060396,2026-01-05T17:27:39.624491
04,python,2,0.341842,2026-01-05T17:27:39.966861
05,python,1,0.005575,2026-01-05T17:27:40.054989
05,python,2,0.000479,2026-01-05T17:27:40.056027
06,python,1,0.000929,2026-01-05T17:27:40.140687
06,python,2,0.004390,2026-01-05T17:27:40.145590
07,python,1,0.001264,2026-01-05T17:27:40.231900
07,python,2,0.001762,2026-01-05T17:27:40.234219
08,python,1,0.074306,2026-01-05T17:27:40.462694
08,python,2,0.233754,2026-01-05T17:27:40.697071
09,python,1,0.069486,2026-01-05T17:27:40.856519
09,python,2,0.282200,2026-01-05T17:27:41.139295
10,python,1,0.017264,2026-01-05T17:27:41.272455
10,python,2,0.735075,2026-01-05T17:27:42.008191
11,python,1,0.000602,2026-01-05T17:27:42.100837
11,python,2,0.001906,2026-01-05T17:27:42.103142
12,python,1,0.003350,2026-01-05T17:27:42.190595
12,python,2,0.000001,2026-01-05T17:27:42.191044
01,rust,1,0.000046,2026-01-05T17:27:42.376890149+00:00
01,rust,2,0.000071,2026-01-05T17:27:42.377117355+00:00
02,rust,1,0.004263,2026-01-05T17:27:42.547843614+00:00
02,rust,2,0.022693,2026-01-05T17:27:42.570905593+00:00
03,rust,1,0.000110,2026-01-05T17:27:42.739048078+00:00
03,rust,2,0.000164,2026-01-05T17:27:42.739398141+00:00
01,rust,1,0.000049,2026-01-05T18:08:57.981933380+00:00
01,rust,2,0.000059,2026-01-05T18:08:57.982112936+00:00
02,rust,1,0.004334,2026-01-05T18:08:58.166729080+00:00
02,rust,2,0.022153,2026-01-05T18:08:58.189198081+00:00
03,rust,1,0.000103,2026-01-05T18:08:58.380060960+00:00
03,rust,2,0.000369,2026-01-05T18:08:58.380661434+00:00
01,rust,1,0.000050,2026-01-05T18:10:05.110193300+00:00
01,rust,2,0.000060,2026-01-05T18:10:05.110396405+00:00
02,rust,1,0.004097,2026-01-05T18:10:05.301173563+00:00
02,rust,2,0.024081,2026-01-05T18:10:05.325627177+00:00
03,rust,1,0.000194,2026-01-05T18:10:05.499027583+00:00
03,rust,2,0.000173,2026-01-05T18:10:05.499399222+00:00
01,rust,1,0.000052,2026-01-05T18:10:09.830364052+00:00
01,rust,2,0.000099,2026-01-05T18:10:09.830657336+00:00
02,rust,1,0.004111,2026-01-05T18:10:10.020231103+00:00
02,rust,2,0.024365,2026-01-05T18:10:10.044869753+00:00
03,rust,1,0.000152,2026-01-05T18:10:10.220483943+00:00
03,rust,2,0.000267,2026-01-05T18:10:10.220958358+00:00
01,rust,1,0.000050,2026-01-05T18:11:05.635716317+00:00
01,rust,2,0.000096,2026-01-05T18:11:05.635956995+00:00
02,rust,1,0.004005,2026-01-05T18:11:05.810623622+00:00
02,rust,2,0.020680,2026-01-05T18:11:05.831686705+00:00
03,rust,1,0.000097,2026-01-05T18:11:06.007671640+00:00
03,rust,2,0.000268,2026-01-05T18:11:06.008117981+00:00
01,rust,1,0.000049,2026-01-05T18:11:46.514634475+00:00
01,rust,1,0.000079,2026-01-05T18:11:57.857497575+00:00
01,rust,2,0.000157,2026-01-05T18:11:57.857880769+00:00
01,python,1,0.001695,2026-01-05T18:12:12.599562
01,python,2,0.002766,2026-01-05T18:12:12.602782
02,python,1,0.611412,2026-01-05T18:12:13.307512
02,python,2,1.435566,2026-01-05T18:12:14.748823
03,python,1,0.004672,2026-01-05T18:12:14.841720
03,python,2,0.009384,2026-01-05T18:12:14.851827
04,python,1,0.055995,2026-01-05T18:12:14.996043
04,python,2,0.342895,2026-01-05T18:12:15.339573
05,python,1,0.005761,2026-01-05T18:12:15.428834
05,python,2,0.000633,2026-01-05T18:12:15.429863
06,python,1,0.000924,2026-01-05T18:12:15.512717
06,python,2,0.004215,2026-01-05T18:12:15.517412
07,python,1,0.001238,2026-01-05T18:12:15.601749
07,python,2,0.001585,2026-01-05T18:12:15.603853
08,python,1,0.075987,2026-01-05T18:12:15.834939
08,python,2,0.225605,2026-01-05T18:12:16.061213
09,python,1,0.065318,2026-01-05T18:12:16.218598
09,python,2,0.308970,2026-01-05T18:12:16.528257
10,python,1,0.017819,2026-01-05T18:12:16.658610
10,python,2,0.815440,2026-01-05T18:12:17.474675
11,python,1,0.000527,2026-01-05T18:12:17.571807
11,python,2,0.002543,2026-01-05T18:12:17.575495
12,python,1,0.003167,2026-01-05T18:12:17.664505
12,python,2,0.000001,2026-01-05T18:12:17.664961
